title,year,tags,type_of_document,origin_of_document,caption,authors_of_document,collections,url
Towards Democratic Auditing: Civic Participation in the Scoring Society,2022,"[ ""médialab"" ]",rapport,Data Justice Lab,"The project Towards Democratic Auditing: Civic Participation in the Scoring Society investigated avenues for participation and intervention in the increasing roll-out of data analytics systems. It analysed methods for placing citizen voice at the centre of the development, implementation and management of data systems, and it thus aimed at enhancing democratic principles and practices in a datafied society. The 3-year project (2019-21) was funded by the Open Society Foundations.",Data Justice Lab,"[ ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20221003_130722-w4x
"Rapport public Parcoursup | Université Lumière-Lyon 2, Droit, 2021",2021,"[ ""Hubert Guillaud"", ""Célia Zolynski"", ""Hugo Scurto"" ]",rapport,Université Lumière-Lyon 2,Rapport public qui fait le bilan de l'utilisation de Parcoursup et des critères utilisés par établissement (format standard).,,"[ ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230704_102739-viu
Scènes de la vie numérique | Cahier du LINC (CNIL),2021,"[ ""Hugo Scurto"", ""Célia Zolynski"", ""Hubert Guillaud"" ]",rapport,CNIL,"Au-delà des droits individuels, des leviers collectifs pour protéger la vie privée",LINC,"[ ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230704_103247-vhi
Tract FO DGFIP / Foncier Innovant,2021,"[ ""Damien Robinet"" ]",tract,Syndicat Force Ouvrière Finances Publiques,"Tract du syndicat FO de la DGFIP qui dénonce les enjeux du foncier innovant, tant sur le travail des agents que sur les répercussions sur la qualité du service public.",,"[ ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_224252-zz4
Que se passe-t-il au garage Wiki de la Quadrature du Net,2022,"[ ""Félix Tréguer"" ]",wiki,Wiki La Quadrature du Net,Comptes rendus des actions et veille de l'association la Quadrature du Net sur 2022,La Quadrature du Net,"[ ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_223842-m9a
Rapport de l'OPECST - 2017,2017,"[ ""Cédric Buron"", ""Dominique Cardon"" ]",rapport,Sénat,"Rapport sur l'IA de l'Office parlementaire d’évaluation des choix scientifiques et technologiques, commission composée de sénateurs et de parlementaires.",OPECST,"[ ""0. Des modes de participation à l'IA"", ""1.1. Définir l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230116_123246-4cm
Masterclass BLAST - Résister face à la surveillance - La Quadrature,2021,"[ ""Félix Tréguer"" ]",vidéo,Blast,Masterclass BLAST - Résister face à la surveillance -,,"[ ""0. Des modes de participation à l'IA"", ""1.1. Définir l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_093507-dbb
La théorie mathématique de la communication,2018,"[ ""Alexandre Défossez"" ]",livre,Cassini,Livre de Claude Shannon (et de Warren Weaver) autour de la théorie mathématique de la communication,Claude Shannon & Warren Weaver,"[ ""0. Des modes de participation à l'IA"", ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_131212-pqs
Analyse Intersectionnelle des système sociotechniques,2021,"[ ""Hubert Guillaud"" ]",article de blog,,"Description d'une approche intersectionnelle qui mettrait plus étroitement en résonance les enjeux posés par les technologies abordées par l'association Le Mouton Numérique (démocratie, surveillance, smart cities, environnement…) avec les questions sociales et politiques. Liste de ressources pour une technocritique intersectionnelle.",Le Mouton Numérique,"[ ""0. Des modes de participation à l'IA"", ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_162323-2ef
Même anti-vaccins/5G,2021,"[ ""Félix Tréguer"" ]",image,Internet,,inconnu,"[ ""0. Des modes de participation à l'IA"", ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_114639-ec6
La controverse de la 5G,2020,"[ ""Félix Tréguer"" ]",rapport,,,Gauthier Roussilhe,"[ ""0. Des modes de participation à l'IA"", ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220604_122723-hp5
Technocritiques Du refus des machines à la contestation des technosciences,2016,"[ ""Félix Tréguer"" ]",livre,,,François Jarrige,"[ ""0. Des modes de participation à l'IA"", ""2.2. Produire une critique de l’IA"", ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220607_101921-x8p
Feuille de route 2021-2024 du Ministère de l'Enseignement Supérieur et de la Recherche,2021,"[ ""Hubert Guillaud"" ]",stratégie,,"Feuille de route 2021-2024 pour la politique des données, des algorithmes et des codes sources qui détaille les objectifs politiques et actions concrètes du Ministère de l'Enseignement Supérieur, de la Recherche et de l'innovation.",MESRI,"[ ""0. Des modes de participation à l'IA"", ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_155659-sqh
Tract CGT DGFiP/ Foncier Innovant,2022,"[ ""Damien Robinet"" ]",tract,Syndicat CGT Finances Publiques,"Tract du syndicat FO de la DGFIP qui dénonce les enjeux du foncier innovant, tant sur le travail des agents que sur les répercussions sur la qualité du service public.",,"[ ""0. Des modes de participation à l'IA"", ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_224618-r4j
Prototype d'un service pour lutter contre le non-recours aux droits sociaux (Sia Partners),2021,"[ ""Romain Boucher"" ]",interface,Sia Partners,Expérimentation rapide développée par un data scientiste chez Sia Partners pour montrer ce qui pourrait être entrepris par l'administration pour lutter contre le non-recours aux droits sociaux.,Romain Boucher,"[ ""0. Des modes de participation à l'IA"", ""2.5. Instrumenter l'action publique"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230702_160700-o9g
Edward Snowden lanceur d'alerte (article de The Guardian),2013,"[ ""Hubert Guillaud"" ]",article de presse,Guradian,"Article de The Guardian présentant Edward Snowden, la source des fuites des documents sur la surveillance de la NSA","Glenn Greenwald, Ewen MacAskill, Laura Poitras","[ ""1.1. Définir l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_164517-lei
Deep Learning,2015,"[ ""Alexandre Défossez"" ]",article scientifique,Nature,Article de présentation du Deep Learning par trois de ses principaux partisans,"Yann Le Cun, Yoshua Bengio & Geoffrey Hinton","[ ""1.1. Définir l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_131028-cef
Cartographie de l'affaire Snowden,2014,"[ ""Hubert Guillaud"" ]",article scientifique,Hérodote,Carte présentant l'architecture du système révélé par Edward Snowden : un système complexe et des alliances qui permettent une emprise globale.,Louis Pétiniaud,"[ ""1.1. Définir l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_164038-tr7
ACM Computing Classification System,1964,"[ ""Cédric Buron"" ]",classification,Site de l'ACM,Computing Classification System de l'Association for Computing Machinery (ACM),ACM,"[ ""1.1. Définir l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_133528-04e
L'intelligence artificielle. De quoi s'agit-il vraiment ?,2020,"[ ""Cédric Buron"" ]",livre,Cépaduès Editions,"Brochure de présentation du livre collectif ""L'intelligence artificielle. De quoi s'agit-il vraiment ?"" du GDR IA",GDR en IA du CNRS,"[ ""1.1. Définir l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_134918-4vi
Journées plénières 2021 du GDR IA,2021,"[ ""Cédric Buron"" ]",programme,Site du GDR IA,Programme de l'édition 2021 des journées plénières du GDR IA,GDR IA,"[ ""1.1. Définir l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_141016-k76
Data Governance Act / Proposition de règlement du Parlement Européen,2020,"[ ""Cécile Crichton"" ]",texte législatif,Commission Européenne,Proposition de règlement du Parlement Européen sur la gouvernance européenne des données,Parlement Européen,"[ ""1.1. Définir l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_151252-gwh
What is synthetic data,2021,"[ ""Ninon Burgos"" ]",article (presse spécialisée),Nvidia,Utilisation et génération de données synthétiques pour l'entraînement de modèles,G. Andrews,"[ ""1.2. Mettre en données le monde"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230628_170428-q5l
The data deluge,2010,"[ ""Dominique Cardon"" ]",article de presse,The Economist,"Une du journal ""The Economist"" à propos du ""data deluge"" provoqué par l'avènement du Big Data",The Economist,"[ ""1.2. Mettre en données le monde"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220527_145859-iz4
Scaling Laws for Neural Language Models,2020,"[""Dominique Cardon""]",article scientifique,arXiv,Article collectif à propos des lois d'échelle de la performance des modèles de langage,"Jared Kaplan, Sam McCandlish, Tom Henighan, Tom B. Brown, Benjamin Chess, Rewon Child, Scott Gray, Alec Radford, Jeffrey Wu, Dario Amodei","[ ""1.2. Mettre en données le monde"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_182552-blt
Triage 4.0: On Death Algorithms and Technological Selection. Is Today's Data- Driven Medical System Still Compatible with the Constitution?,2021,"[ ""Marie Lechner"" ]",article scientifique,National Library of Medecine,Article collectif à propos des éventuelles discriminations lors de l'utilisation d'outils d'IA à partir de données médicales,"Dirk Helbing, Thomas Beschorner, Bruno Frey, Andreas Diekmann, Thilo Hagendorff, Peter Seele, Sarah Spiekermann-Hoff, Jeroen van den Hoven & Andrej Zwitter i","[ ""1.2. Mettre en données le monde"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220610_131442-5kz
Brain Tumor Segmentation (BraTS) Challenge 2021,2021,"[ ""Ninon Burgos"" ]",challenge,Site du Center for Biomedical Image Computing & Analytics de la Perelman School of Medicine,"Présentation de l'édition 2021 de la compétition ""Brain Tumor Segmentation"" (BraTS)",Collectif,"[ ""1.2. Mettre en données le monde"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_152702-aes
CONSTANCES,2022,"[ ""Ninon Burgos"" ]",dataset,Site de Constances,"Présentation de Constances, une cohorte épidémiologique « généraliste » constituée d'un échantillon représentatif de 200 000 adultes âgés de 18 à 69 ans",Constances,"[ ""1.2. Mettre en données le monde"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_122904-2py
Canadian Hansard Dataset,2017,"[ ""Eric Gaussier"" ]",dataset,Site du LiiPaD,Présentation du Canadian Hansard Dataset au sein du Linked Parliamentary Data Project (LiPaD),Beelen et al.,"[ ""1.2. Mettre en données le monde"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_163436-ueg
The ADHD-200 Sample,2022,"[ ""Ninon Burgos"" ]",dataset,Site de l'ADHD-200 Sample,"Présentation de l'Attention Deficit Hyperactivity Disorder (ADHD) - 200 Sample, une initiative dédiée à l'accélération de la compréhension des fondements neuronaux de l'ADHD",ADHD-200 Sample,"[ ""1.2. Mettre en données le monde"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_121802-1ar
UK Biobank,2022,"[ ""Ninon Burgos"" ]",dataset,Site de UK Biobank,"Présentation de la base de données biomédicale UK Biobank, qui contient des informations génétiques et de santé d'environ 500 000 citoyens britanniques",UK Biobank,"[ ""1.2. Mettre en données le monde"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_122703-w7r
Alzheimer's Disease Neuroimaging Initiative (ADNI),2022,"[ ""Ninon Burgos"" ]",dataset,Site de l'ADNI,"Présentation de l'Alzheimer's Disease Neuroimaging Initiative (ADNI), une étude longitudinale conçue pour développer des biomarqueurs (cliniques, d'imagerie, génétiques, biochimiques) pour la détection précoce et le suivi de la maladie d'Alzheimer",ADNI,"[ ""1.2. Mettre en données le monde"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_113446-9k5
Parkinson's Progression Markers Initiative,2022,"[ ""Ninon Burgos"" ]",dataset,Site de PPMI,"Présentation de la Parkinson's Progression Markers Initiative (PPMI), une étude longitudinale et multi-centrée visant à identifier des marqueurs de la progression de la maladie afin d'accélérer les essais thérapeutiques",PPMI,"[ ""1.2. Mettre en données le monde"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_122137-7er
What is a Language Resource ?,2022,"[ ""Eric Gaussier"" ]",dataset,Site de la ELRA,"Définition de ce qu'est une ""Language Resource"" par la European Language Resources Association (ELRA)",European Language Resources Association,"[ ""1.2. Mettre en données le monde"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_151509-dxv
Deep Learning is Hitting a Wall,2022,"[ ""Dominique Cardon"" ]",essai,Nautilus,Tribune de Gary Marcus à propos des limites du deep learning,Gary Marcus,"[ ""1.2. Mettre en données le monde"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220531_101957-ty7
Atlas of AI - Kate Crawford,2021,"[ ""PA Chevalier"" ]",livre,,"The Atlas of AI - livre de Kate Crawford : cartographie sociale, politique et environnementale de l'IA (2021)",Kate Crawford,"[ ""1.2. Mettre en données le monde"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_110840-802
ENIGMA,2022,"[ ""Ninon Burgos"" ]",logiciel,Site d'ENIGMA,"Présentation du consortium ""Enhancing Neuro Imaging Genetics Through Meta Analysis"" (ENIGMA) qui rassemble des chercheurs et chercheuses en imagerie du génome afin de comprendre la structure, les fonctions et maladies du cerveau",ENIGMA,"[ ""1.2. Mettre en données le monde"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_121520-01d
Cycle Afrocyberféminisme - Gaité Lyrique,2018,"[ ""Marie Lechner"" ]",programme,Gaité Lyrique (site),Cycle de conférences,,"[ ""1.2. Mettre en données le monde"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_231824-otx
Datasets gathered with proper consent - tweet,2021,"[ ""PA Chevalier"" ]",tweet,Twitter,Echange entre Sasha Luccioni (Hugging Face) et Paul-Antoine Chevalier sur les bases de données recueillies avec le consentement des utilisateurs. Exemple de PIAF.,Sasha Luccioni / Paul-Antoine Chevalier,"[ ""1.2. Mettre en données le monde"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_111146-7yp
Licenciement de Timnit Gebru - Tweet,2021,"[ ""PA Chevalier"" ]",tweet,Twitter,Tweet de Timnit Gebru relatif à son licenciement de Google,Timnit Gebru,"[ ""1.2. Mettre en données le monde"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_125715-63t
Missing Datasets - Mimi Onuoha,2016,"[ ""Marie Lechner"" ]",œuvre,Github,Œuvre de Mimi Onuoha sur Github.,Mimi Onuoha,"[ ""1.2. Mettre en données le monde"", ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_232125-lwz
On the Dangers of Stochastic Parrots: Can Language Models Be Too Big? 🦜,2021,"[ ""Alexandre Défossez"" ]",article scientifique,"Proceedings of the 2021 ACM Conference on Fairness, Accountability, and Transparency","Article qui interroge la taille des modèles de langage, mais qui est aussi à l'origine du licenciement de la chercheuse Timnit Gebru par Google","Emily M. Bender, Timnit Gebru, Angelina McMillan-Major & Shmargaret Shmitchell","[ ""1.2. Mettre en données le monde"", ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_182109-lrk
Plateforme Big Data de l'AP-HP,2022,"[ ""Ninon Burgos"" ]",slides,Site de l'EDS,Présentation de la plateforme Big Data de l'Entrepôt des Données de Santé (EDS) et de l'Assistance Publique - Hôpitaux de Paris -AP-HP),EDS,"[ ""1.2. Mettre en données le monde"", ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_143557-jk0
Entrepôt de Données de Santé (EDS) AP-HP : Faire émerger l'IA en santé. Améliorer la qualité des soins,2019,"[ ""Ninon Burgos"" ]",slides,Ministère des Solidarités et de la Santé,Présentation de l'Entrepôt de Données de Santé (EDS) de l'AP-HP lors du Tour de France de la e-santé,Laurent Treluyer,"[ ""1.2. Mettre en données le monde"", ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_151743-5yn
Experts artificiels. Machines intelligentes et savoir social,1992,"[ ""Dominique Cardon"" ]",livre,Seuil,"Livre du sociologue Harry Collins à propos des ""experts artificiels""",Harry Collins,"[ ""1.2. Mettre en données le monde"", ""2.1. Performer le social"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220531_102149-tkn
IBM Research Releases ‘Diversity in Faces’ Dataset to Advance Study of Fairness in Facial Recognition Systems,2019,"[ ""Félix Tréguer"" ]",article de blog,IBM Blog,IBM Blog,John R. Smith,"[ ""1.2. Mettre en données le monde"", ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220607_101650-hdh
La technologie de reconnaissance faciale est-elle raciste ?,2015,"[ ""Lucie Ronfaut"" ]",article de presse,Le Figaro,,Lucie Ronfaut,"[ ""1.2. Mettre en données le monde"", ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_161926-gf0
Exposing AI,2017,"[ ""Marie Lechner"" ]",dataset,Exposing AI website,"Exposing.ai is created by Adam Harvey and Jules LaPlace and is based on the earlier MegaPixels project (2017 - 2020). This new project, Exposing.ai, launched in January 2021 and is based on years of research about image training datasets used for face recognition and related biometric analysis technologies. After tracking down and analyzing hundreds of these datasets a pattern emerged: millions of images were being downloaded from Flickr.com where permissive content licenses are encouraged and biometric data is abundant. Telling the complex story of how yesterday's photographs became today's training data is part of the goal of this ongoing project.","Adam Harvey, Jules Laplace","[ ""1.2. Mettre en données le monde"", ""2.3. Ouvrir les boîtes noires"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230702_163217-bds
Myriad Tulips - Anna Ridler,2022,"[ ""Marie Lechner"" ]",œuvre,Google Arts & Culture,Œuvre à partir de la constitution d'un jeu de données sur des tulipes pour entraîner un modèle génératif.,Anna Ridler,"[ ""1.2. Mettre en données le monde"", ""2.3. Ouvrir les boîtes noires"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_230031-uq5
Fiche produit sound scanner Sensivic,2022,"[ ""Félix Tréguer"" ]",notice produit,Sensivic,"Fiche produit de Sound Scanner, détecteur automatique de son produit par Sensivic",,"[ ""1.2. Mettre en données le monde"", ""2.3. Ouvrir les boîtes noires"", ""4.1. Prises, emprises, déprises, reprises"", ""2.2. Produire une critique de l’IA"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220610_171713-b9n
SING : Symbol-to-Instrument Neural Generator,2018,"[ ""Alexandre Défossez"" ]",article scientifique,arXiv,"Article présentant SING, un synthétiseur neuronal audio pour la génération de notes musicales","Alexandre Défossez (FAIR, PSL, SIERRA), Neil Zeghidour (PSL, FAIR, LSCP), Nicolas Usunier (FAIR), Léon Bottou (FAIR), Francis Bach (DI-ENS, PSL, SIERRA)","[ ""1.2. Mettre en données le monde"", ""3.1. Appliquer l'IA (de la recherche au business)"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_130654-kjl
Statactivistes ? Encore un effort pour être vraiment révolutionnaires,2014,"[ ""PA Chevalier"" ]",article de blog,Blog d'Henri Verdier,"Post de blog d'Henri Verdier, ambassadeur pour les affaires numériques, à propos du stat-activisme",Henri Verdier,"[ ""1.2. Mettre en données le monde"", ""3.1. Appliquer l'IA (de la recherche au business)"", ""0. Des modes de participation à l'IA"", ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220610_130713-hey
Livre blanc sur l'Open Data des décisions de justice (Open Law),2017,"[ ""Sumi Saint-Auguste"" ]",livre blanc,Open Law,"Synthèse des travaux menés dans le cadre du programme Open ""Case"" Law par l'association Open Law (droit ouvert) avec un schéma qui montre les étapes de production, diffusion et utilisation de cette open data avec les acteurs clés.",Open Law,"[ ""1.2. Mettre en données le monde"", ""3.1. Appliquer l'IA (de la recherche au business)"", ""4.2. Chaînes de valeur de la donnée"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_220523-u6c
Mener un projet d'IA contributif : enseignements et méthodologies,2020,"[ ""PA Chevalier"" ]",compte rendu,PIAF (site web),,Lab IA d'Etalab,"[ ""1.2. Mettre en données le monde"", ""3.1. Appliquer l'IA (de la recherche au business)"", ""4.2. Chaînes de valeur de la donnée"", ""0. Des modes de participation à l'IA"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220610_130328-1tm
PIAF - Jeux de données d'entraînement pour modèles de langue francophone,2021,"[ ""Émile Marzolf"", ""PA Chevalier"" ]",slides,Etalab,"L’ambition du projet PIAF est de construire ce(s) jeu(x) de données francophones pour l’IA de manière ouverte et contributive Étape 1 | Développer une plateforme d’annotation fondée sur un protocole scientifique inspiré du projet anglophone SQuAD développé à Stanford, afin d’annoter des extraits d'articles de Wikipédia en français et tester la performance d’une telle démarche Étape 2 | Construire ce jeu de données francophone avec une communauté de contributeurs L’annotation d’articles étant une tâche importante dans l’IA, nous avons choisi d’en faire un projet participatif et pédagogique. Citoyens, associations, chercheurs et agents publics sont invités à y contribuer selon deux formats : des sessions d'annotation pour constituer la base de données d'évaluation, et une campagne grand public pour les données d'entraînement ! En savoir plus Étape 3 | Tester et utiliser ce jeu de données",Etalab,"[ ""1.2. Mettre en données le monde"", ""3.4. Travailler avec l'IA"", ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_144803-pdc
CNIL - Le règlement général sur la protection des données (RGPD),2018,"[ ""Charles Ollion"", ""William Eldin"" ]",texte législatif,Site de la CNIL,Détails du RGPD sur le site de la CNIL,CNIL,"[ ""1.2. Mettre en données le monde"", ""3.5. Justifier les projets d’IA "", ""2.4. Réguler l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220607_114133-5jq
Effets de serfs sur la toile,2010,"[ ""Marie Lechner"" ]",article (presse spécialisée),"La Découverte, Revue du Mauss",,Marie Lechner,"[ ""1.2. Mettre en données le monde"", ""4.2. Chaînes de valeur de la donnée"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230702_164601-nab
